CelebrityName,Season,Week,RuleType,JudgeScore,JudgeScore_Normalization,Possible_Audience_Vote_Range,Predicted_Audience_Percent,Predicted_Audience_Rank,Loss_Total,Loss_Constraint,Loss_Smooth,Loss_Corr,Loss_Reg,Loss_Diversity,Loss_Trend,Status,Config_alpha_constraint,Config_beta_smooth,Config_gamma_corr,Config_delta_reg,Config_epsilon_diversity,Config_zeta_trend,Config_steps,Config_lr,Config_temperature,Config_rank_tau,Config_reg_type,Config_normal_sigma_factor,Config_longtail_alpha,Config_longtail_shift,Config_constraint_margin,Config_diversity_sigma,Percent_Predict,Rank_predict
Amber Riley,17,7,Percent,29.5,13.3%,21.1%-43.6%,27.31,1.0,1.950137919622648,0.0002872617042157,0.0001103820177377,0.1100038290023803,0.1386522352695465,0.153109073638916,0.0630148649215698,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bill Engvall,17,7,Percent,25.0,11.3%,0.3%-10.0%,3.09,8.0,1.950137919622648,0.0002872617042157,0.0001103820177377,0.1100038290023803,0.1386522352695465,0.153109073638916,0.0630148649215698,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
"Nicole ""Snooki"" Polizzi",17,7,Percent,27.0,12.2%,0.8%-11.8%,6.53,6.0,1.950137919622648,0.0002872617042157,0.0001103820177377,0.1100038290023803,0.1386522352695465,0.153109073638916,0.0630148649215698,Eliminated (Place 8),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jack Osbourne,17,7,Percent,28.5,12.9%,1.7%-19.1%,11.84,4.0,1.950137919622648,0.0002872617042157,0.0001103820177377,0.1100038290023803,0.1386522352695465,0.153109073638916,0.0630148649215698,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Brant Daugherty,17,8,Percent,27.0,14.1%,1.2%-14.4%,9.23,5.0,2.651679966598749,0.0007713825907558,0.0,0.1729079484939575,0.0952997803688049,0.139221653342247,0.1220746040344238,Eliminated (Place 7),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Elizabeth Berkley Lauren,17,8,Percent,25.0,13.0%,0.8%-13.2%,6.66,6.0,2.651679966598749,0.0007713825907558,0.0,0.1729079484939575,0.0952997803688049,0.139221653342247,0.1220746040344238,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Leah Remini,17,8,Percent,28.0,14.6%,2.3%-22.6%,13.64,4.0,2.651679966598749,0.0007713825907558,0.0,0.1729079484939575,0.0952997803688049,0.139221653342247,0.1220746040344238,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Corbin Bleu,17,8,Percent,30.0,15.6%,17.2%-39.7%,25.56,1.0,2.651679966598749,0.0007713825907558,0.0,0.1729079484939575,0.0952997803688049,0.139221653342247,0.1220746040344238,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Amber Riley,17,8,Percent,28.0,14.6%,17.4%-41.9%,23.54,2.0,2.651679966598749,0.0007713825907558,0.0,0.1729079484939575,0.0952997803688049,0.139221653342247,0.1220746040344238,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bill Engvall,17,8,Percent,24.0,12.5%,0.6%-12.8%,5.03,7.0,2.651679966598749,0.0007713825907558,0.0,0.1729079484939575,0.0952997803688049,0.139221653342247,0.1220746040344238,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jack Osbourne,17,8,Percent,30.0,15.6%,5.3%-24.6%,16.34,3.0,2.651679966598749,0.0007713825907558,0.0,0.1729079484939575,0.0952997803688049,0.139221653342247,0.1220746040344238,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Elizabeth Berkley Lauren,17,9,Percent,28.0,17.8%,1.8%-18.2%,13.02,4.0,4.051234724000096,0.0019378213910385,0.0,0.4046204090118408,0.0500182956457138,0.1586702466011047,0.1183339953422546,Eliminated (Place 6),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Leah Remini,17,9,Percent,27.0,17.1%,3.5%-26.9%,16.96,3.0,4.051234724000096,0.0019378213910385,0.0,0.4046204090118408,0.0500182956457138,0.1586702466011047,0.1183339953422546,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Corbin Bleu,17,9,Percent,29.0,18.4%,18.0%-50.0%,26.38,1.0,4.051234724000096,0.0019378213910385,0.0,0.4046204090118408,0.0500182956457138,0.1586702466011047,0.1183339953422546,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Amber Riley,17,9,Percent,25.5,16.2%,16.6%-45.3%,23.41,2.0,4.051234724000096,0.0019378213910385,0.0,0.4046204090118408,0.0500182956457138,0.1586702466011047,0.1183339953422546,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bill Engvall,17,9,Percent,21.0,13.3%,0.9%-14.7%,7.69,6.0,4.051234724000096,0.0019378213910385,0.0,0.4046204090118408,0.0500182956457138,0.1586702466011047,0.1183339953422546,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jack Osbourne,17,9,Percent,27.0,17.1%,1.7%-23.5%,12.54,5.0,4.051234724000096,0.0019378213910385,0.0,0.4046204090118408,0.0500182956457138,0.1586702466011047,0.1183339953422546,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Leah Remini,17,10,Percent,32.5,18.6%,1.6%-14.4%,12.1,4.0,1.0580389248207211,0.0005744441295973,0.0,0.0374512076377868,0.072659820318222,0.0731503963470459,0.0421421527862548,Eliminated (Place 5),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Corbin Bleu,17,10,Percent,37.5,21.4%,23.6%-34.3%,27.56,2.0,1.0580389248207211,0.0005744441295973,0.0,0.0374512076377868,0.072659820318222,0.0731503963470459,0.0421421527862548,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Amber Riley,17,10,Percent,39.5,22.6%,32.7%-46.3%,34.86,1.0,1.0580389248207211,0.0005744441295973,0.0,0.0374512076377868,0.072659820318222,0.0731503963470459,0.0421421527862548,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bill Engvall,17,10,Percent,30.0,17.1%,1.9%-12.8%,8.73,5.0,1.0580389248207211,0.0005744441295973,0.0,0.0374512076377868,0.072659820318222,0.0731503963470459,0.0421421527862548,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jack Osbourne,17,10,Percent,35.5,20.3%,11.3%-20.8%,16.76,3.0,1.0580389248207211,0.0005744441295973,0.0,0.0374512076377868,0.072659820318222,0.0731503963470459,0.0421421527862548,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Corbin Bleu,17,11,Percent,29.6664,25.9%,29.7%-36.5%,31.24,2.0,0.4835843741893768,0.0,0.0,0.0189607143402099,0.064325988292694,0.0251451954245567,0.0227925777435302,Eliminated (Place 2),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Amber Riley,17,11,Percent,31.3332,27.4%,39.1%-47.8%,40.19,1.0,0.4835843741893768,0.0,0.0,0.0189607143402099,0.064325988292694,0.0251451954245567,0.0227925777435302,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bill Engvall,17,11,Percent,25.4999,22.3%,2.1%-12.2%,10.62,4.0,0.4835843741893768,0.0,0.0,0.0189607143402099,0.064325988292694,0.0251451954245567,0.0227925777435302,Eliminated (Place 4),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jack Osbourne,17,11,Percent,27.9999,24.5%,13.1%-19.7%,17.96,3.0,0.4835843741893768,0.0,0.0,0.0189607143402099,0.064325988292694,0.0251451954245567,0.0227925777435302,Eliminated (Place 3),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Antonio Sabato Jr.,19,1,Percent,25.0,6.7%,0.1%-20.2%,0.97,13.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jonathan Bennett,19,1,Percent,30.0,8.1%,1.1%-18.9%,7.69,6.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lea Thompson,19,1,Percent,32.0,8.6%,2.1%-25.9%,12.81,3.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Janel Parrish,19,1,Percent,29.0,7.8%,1.3%-21.0%,9.14,5.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alfonso Ribeiro,19,1,Percent,36.0,9.7%,1.6%-23.0%,10.46,4.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lolo Jones,19,1,Percent,22.0,5.9%,0.4%-10.7%,3.28,10.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Eliminated (Place 13),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Randy Couture,19,1,Percent,31.0,8.3%,0.6%-15.1%,5.0,8.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Tommy Chong,19,1,Percent,27.0,7.3%,0.9%-18.3%,6.92,7.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Betsey Johnson,19,1,Percent,20.0,5.4%,0.3%-12.8%,2.79,11.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Michael Waltrip,19,1,Percent,25.0,6.7%,0.2%-12.7%,2.22,12.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Tavis Smiley,19,1,Percent,29.0,7.8%,0.4%-12.5%,3.57,9.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bethany Mota,19,1,Percent,32.0,8.6%,8.5%-38.2%,18.34,1.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sadie Robertson,19,1,Percent,34.0,9.1%,7.3%-34.8%,16.82,2.0,3.758970356313512,2.8046619263477623e-05,0.0,0.2587159276008606,0.1939692497253418,0.2524169683456421,0.1515790224075317,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Antonio Sabato Jr.,19,2,Percent,31.0,8.6%,1.5%-25.5%,10.02,5.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jonathan Bennett,19,2,Percent,30.0,8.3%,0.9%-14.8%,6.96,7.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lea Thompson,19,2,Percent,35.0,9.7%,6.4%-24.6%,14.78,2.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Janel Parrish,19,2,Percent,34.0,9.4%,2.7%-21.4%,11.76,4.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alfonso Ribeiro,19,2,Percent,32.0,8.8%,1.1%-16.2%,8.13,6.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Randy Couture,19,2,Percent,28.0,7.7%,0.3%-9.0%,2.6,9.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Tommy Chong,19,2,Percent,28.0,7.7%,0.7%-13.6%,5.82,8.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Betsey Johnson,19,2,Percent,28.0,7.7%,0.7%-13.6%,5.82,8.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Michael Waltrip,19,2,Percent,24.0,6.6%,0.1%-7.8%,0.87,11.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Tavis Smiley,19,2,Percent,28.0,7.7%,0.1%-7.6%,1.57,10.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Eliminated (Place 12),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bethany Mota,19,2,Percent,33.0,9.1%,10.6%-31.1%,17.75,1.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sadie Robertson,19,2,Percent,31.0,8.6%,5.9%-25.1%,13.91,3.0,2.6037918559335367,2.9538045055232945e-05,8.544749334760127e-07,0.1397132277488708,0.1747762411832809,0.232007697224617,0.088650107383728,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Antonio Sabato Jr.,19,3,Percent,29.0,8.2%,0.5%-16.6%,3.99,9.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jonathan Bennett,19,3,Percent,32.0,9.1%,1.1%-15.1%,7.77,6.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lea Thompson,19,3,Percent,31.0,8.8%,1.7%-18.7%,11.21,4.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Janel Parrish,19,3,Percent,40.0,11.3%,6.1%-23.7%,13.92,3.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alfonso Ribeiro,19,3,Percent,32.0,9.1%,0.9%-14.1%,6.7,7.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Randy Couture,19,3,Percent,26.0,7.4%,0.1%-6.8%,0.74,11.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Eliminated (Place 11),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Tommy Chong,19,3,Percent,34.0,9.6%,1.4%-17.5%,9.86,5.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Betsey Johnson,19,3,Percent,29.0,8.2%,0.8%-14.4%,6.11,8.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Michael Waltrip,19,3,Percent,28.0,7.9%,0.3%-10.0%,2.94,10.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bethany Mota,19,3,Percent,40.0,11.3%,15.0%-37.1%,21.41,1.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sadie Robertson,19,3,Percent,32.0,9.1%,7.5%-25.1%,15.35,2.0,2.297417058303836,0.0,1.2342716217972338e-05,0.1395199298858642,0.1659505665302276,0.2108193933963775,0.0606573820114135,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Antonio Sabato Jr.,19,4,Percent,29.0,9.1%,1.0%-23.4%,7.6,6.0,3.191619926592466,0.0005045580910518,2.445140671625268e-05,0.2236270904541015,0.1425831317901611,0.202632188796997,0.1223745942115783,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jonathan Bennett,19,4,Percent,24.0,7.5%,0.2%-11.5%,2.32,10.0,3.191619926592466,0.0005045580910518,2.445140671625268e-05,0.2236270904541015,0.1425831317901611,0.202632188796997,0.1223745942115783,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lea Thompson,19,4,Percent,39.0,12.2%,5.8%-29.2%,15.44,3.0,3.191619926592466,0.0005045580910518,2.445140671625268e-05,0.2236270904541015,0.1425831317901611,0.202632188796997,0.1223745942115783,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Janel Parrish,19,4,Percent,36.0,11.2%,1.8%-21.8%,11.97,4.0,3.191619926592466,0.0005045580910518,2.445140671625268e-05,0.2236270904541015,0.1425831317901611,0.202632188796997,0.1223745942115783,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alfonso Ribeiro,19,4,Percent,40.0,12.5%,1.5%-19.8%,10.27,5.0,3.191619926592466,0.0005045580910518,2.445140671625268e-05,0.2236270904541015,0.1425831317901611,0.202632188796997,0.1223745942115783,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Tommy Chong,19,4,Percent,28.0,8.8%,0.7%-15.1%,5.56,8.0,3.191619926592466,0.0005045580910518,2.445140671625268e-05,0.2236270904541015,0.1425831317901611,0.202632188796997,0.1223745942115783,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Betsey Johnson,19,4,Percent,29.0,9.1%,0.7%-11.9%,5.83,7.0,3.191619926592466,0.0005045580910518,2.445140671625268e-05,0.2236270904541015,0.1425831317901611,0.202632188796997,0.1223745942115783,Eliminated (Place 10),240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Michael Waltrip,19,4,Percent,25.0,7.8%,0.3%-10.4%,2.67,9.0,3.191619926592466,0.0005045580910518,2.445140671625268e-05,0.2236270904541015,0.1425831317901611,0.202632188796997,0.1223745942115783,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bethany Mota,19,4,Percent,33.0,10.3%,10.2%-34.9%,18.7,2.0,3.191619926592466,0.0005045580910518,2.445140671625268e-05,0.2236270904541015,0.1425831317901611,0.202632188796997,0.1223745942115783,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Sadie Robertson,19,4,Percent,37.0,11.6%,9.9%-34.8%,19.65,1.0,3.191619926592466,0.0005045580910518,2.445140671625268e-05,0.2236270904541015,0.1425831317901611,0.202632188796997,0.1223745942115783,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Antonio Sabato Jr.,19,5,Percent,28.0,10.6%,1.1%-22.0%,8.42,6.0,2.23938612030122,0.0,6.089150019761291e-07,0.1349510550498962,0.1526314318180084,0.1575654298067093,0.0898720622062683,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Jonathan Bennett,19,5,Percent,24.0,9.1%,0.5%-12.0%,4.19,8.0,2.23938612030122,0.0,6.089150019761291e-07,0.1349510550498962,0.1526314318180084,0.1575654298067093,0.0898720622062683,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Lea Thompson,19,5,Percent,34.0,12.9%,7.1%-25.1%,15.65,3.0,2.23938612030122,0.0,6.089150019761291e-07,0.1349510550498962,0.1526314318180084,0.1575654298067093,0.0898720622062683,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Janel Parrish,19,5,Percent,33.0,12.5%,2.6%-20.6%,12.64,4.0,2.23938612030122,0.0,6.089150019761291e-07,0.1349510550498962,0.1526314318180084,0.1575654298067093,0.0898720622062683,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Alfonso Ribeiro,19,5,Percent,34.0,12.9%,1.4%-17.3%,10.01,5.0,2.23938612030122,0.0,6.089150019761291e-07,0.1349510550498962,0.1526314318180084,0.1575654298067093,0.0898720622062683,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Tommy Chong,19,5,Percent,23.0,8.7%,0.7%-13.3%,5.93,7.0,2.23938612030122,0.0,6.089150019761291e-07,0.1349510550498962,0.1526314318180084,0.1575654298067093,0.0898720622062683,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Michael Waltrip,19,5,Percent,20.0,7.6%,0.1%-8.1%,1.1,9.0,2.23938612030122,0.0,6.089150019761291e-07,0.1349510550498962,0.1526314318180084,0.1575654298067093,0.0898720622062683,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
Bethany Mota,19,5,Percent,32.0,12.1%,14.2%-34.8%,20.38,2.0,2.23938612030122,0.0,6.089150019761291e-07,0.1349510550498962,0.1526314318180084,0.1575654298067093,0.0898720622062683,Safe,240.0,3.0,5.0,2,4,7.0,2000,0.005,0.8,0.45,longtail,0.28,1.5,0.8,0.0,0.03,,
