CelebrityName,Season,Week,RuleType,Possible_Audience_Vote_Range,Uncertainty_Range_Min,Uncertainty_Range_Max,Uncertainty_Range_Width,Uncertainty_Index
Victor Ortiz,16,5,Percent,7.4%-7.4%,7.4,7.4,0,0
Alexandra Raisman,16,5,Percent,9.5%-9.5%,9.5,9.5,0,0
Jacoby Jones,16,5,Percent,14.8%-14.8%,14.8,14.8,0,0
D. L. Hughley,16,5,Percent,1.2%-1.2%,1.2,1.2,0,0
Andy Dick,16,5,Percent,6.1%-6.1%,6.1,6.1,0,0
Kellie Pickler,16,5,Percent,21.5%-21.5%,21.5,21.5,0,0
Sean Lowe,16,5,Percent,11.8%-11.8%,11.8,11.8,0,0
Ingo Rademacher,16,6,Percent,6.8%-6.9%,6.8,6.9,0.1,0.001
Zendaya,16,6,Percent,22.6%-22.7%,22.6,22.7,0.1,0.001
Victor Ortiz,16,6,Percent,2.0%-2.1%,2,2.1,0.1,0.001
Alexandra Raisman,16,6,Percent,13.6%-13.6%,13.6,13.6,0,0
Jacoby Jones,16,6,Percent,11.8%-11.9%,11.8,11.9,0.1,0.001
Andy Dick,16,6,Percent,5.4%-5.4%,5.4,5.4,0,0
Kellie Pickler,16,6,Percent,27.7%-27.7%,27.7,27.7,0,0
Sean Lowe,16,6,Percent,9.8%-9.8%,9.8,9.8,0,0
Ingo Rademacher,16,7,Percent,6.5%-6.5%,6.5,6.5,0,0
Zendaya,16,7,Percent,26.6%-26.6%,26.6,26.6,0,0
Alexandra Raisman,16,7,Percent,15.5%-15.6%,15.5,15.6,0.1,0.001
Jacoby Jones,16,7,Percent,14.0%-14.0%,14,14,0,0
Andy Dick,16,7,Percent,2.6%-2.6%,2.6,2.6,0,0
Kellie Pickler,16,7,Percent,24.7%-24.7%,24.7,24.7,0,0
Sean Lowe,16,7,Percent,10.0%-10.0%,10,10,0,0
Ingo Rademacher,16,8,Percent,7.5%-7.5%,7.5,7.5,0,0
Zendaya,16,8,Percent,30.4%-30.4%,30.4,30.4,0,0
Alexandra Raisman,16,8,Percent,13.1%-13.2%,13.1,13.2,0.1,0.001
Jacoby Jones,16,8,Percent,17.3%-17.3%,17.3,17.3,0,0
Kellie Pickler,16,8,Percent,27.1%-27.1%,27.1,27.1,0,0
Sean Lowe,16,8,Percent,4.5%-4.5%,4.5,4.5,0,0
Ingo Rademacher,16,9,Percent,4.1%-4.3%,4.1,4.3,0.2,0.002
Zendaya,16,9,Percent,22.4%-22.5%,22.4,22.5,0.1,0.001
Alexandra Raisman,16,9,Percent,15.9%-15.9%,15.9,15.9,0,0
Jacoby Jones,16,9,Percent,25.2%-25.2%,25.2,25.2,0,0
Kellie Pickler,16,9,Percent,32.2%-32.3%,32.2,32.3,0.1,0.001
Zendaya,16,10,Percent,34.6%-34.7%,34.6,34.7,0.1,0.001
Alexandra Raisman,16,10,Percent,9.6%-9.7%,9.6,9.7,0.1,0.001
Jacoby Jones,16,10,Percent,14.9%-15.0%,14.9,15,0.1,0.001
Kellie Pickler,16,10,Percent,40.8%-40.9%,40.8,40.9,0.1,0.001
William Levy,14,1,Percent,20.2%-20.5%,20.2,20.5,0.3,0.003
Jack Wagner,14,1,Percent,15.5%-15.6%,15.5,15.6,0.1,0.001
Sherri Sheperd,14,1,Percent,12.4%-12.5%,12.4,12.5,0.1,0.001
Jaleel White,14,1,Percent,9.9%-10.0%,9.9,10,0.1,0.001
Roshon Fegan,14,1,Percent,4.0%-4.1%,4,4.1,0.1,0.001
Melissa Gilbert,14,1,Percent,3.5%-3.6%,3.5,3.6,0.1,0.001
Martina Navratilova,14,1,Percent,1.5%-1.6%,1.5,1.6,0.1,0.001
Donald Driver,14,1,Percent,0.6%-0.7%,0.6,0.7,0.1,0.001
Gavin DeGraw,14,1,Percent,5.3%-5.4%,5.3,5.4,0.1,0.001
Gladys Knight,14,1,Percent,8.4%-8.5%,8.4,8.5,0.1,0.001
Katherine Jenkins,14,1,Percent,11.2%-11.3%,11.2,11.3,0.1,0.001
Maria Menounos,14,1,Percent,6.7%-6.9%,6.7,6.9,0.2,0.002
William Levy,14,2,Percent,20.8%-21.2%,20.8,21.2,0.4,0.004
Jack Wagner,14,2,Percent,13.8%-13.8%,13.8,13.8,0,0
Sherri Sheperd,14,2,Percent,10.7%-10.9%,10.7,10.9,0.2,0.002
Jaleel White,14,2,Percent,3.8%-4.0%,3.8,4,0.2,0.002
Roshon Fegan,14,2,Percent,7.7%-7.8%,7.7,7.8,0.1,0.001
Melissa Gilbert,14,2,Percent,4.8%-4.9%,4.8,4.9,0.1,0.001
Martina Navratilova,14,2,Percent,0.2%-0.2%,0.2,0.2,0,0
Donald Driver,14,2,Percent,5.3%-5.4%,5.3,5.4,0.1,0.001
Gavin DeGraw,14,2,Percent,7.1%-7.2%,7.1,7.2,0.1,0.001
Gladys Knight,14,2,Percent,2.9%-3.1%,2.9,3.1,0.2,0.002
Katherine Jenkins,14,2,Percent,9.7%-9.9%,9.7,9.9,0.2,0.002
Maria Menounos,14,2,Percent,12.2%-12.4%,12.2,12.4,0.2,0.002
William Levy,14,3,Percent,20.9%-21.0%,20.9,21,0.1,0.001
Jack Wagner,14,3,Percent,10.2%-10.2%,10.2,10.2,0,0
Sherri Sheperd,14,3,Percent,3.0%-3.1%,3,3.1,0.1,0.001
Jaleel White,14,3,Percent,6.3%-6.3%,6.3,6.3,0,0
Roshon Fegan,14,3,Percent,4.4%-4.4%,4.4,4.4,0,0
Melissa Gilbert,14,3,Percent,7.9%-7.9%,7.9,7.9,0,0
Donald Driver,14,3,Percent,5.6%-5.6%,5.6,5.6,0,0
Gavin DeGraw,14,3,Percent,8.8%-8.8%,8.8,8.8,0,0
Gladys Knight,14,3,Percent,7.3%-7.3%,7.3,7.3,0,0
Katherine Jenkins,14,3,Percent,12.5%-12.5%,12.5,12.5,0,0
Maria Menounos,14,3,Percent,13.0%-13.0%,13,13,0,0
William Levy,14,4,Percent,21.7%-22.4%,21.7,22.4,0.7,0.007
Sherri Sheperd,14,4,Percent,0.2%-0.3%,0.2,0.3,0.1,0.001
Jaleel White,14,4,Percent,4.5%-4.8%,4.5,4.8,0.3,0.003
Roshon Fegan,14,4,Percent,7.7%-8.0%,7.7,8,0.3,0.003
Melissa Gilbert,14,4,Percent,8.9%-9.1%,8.9,9.1,0.2,0.002
Donald Driver,14,4,Percent,10.9%-11.1%,10.9,11.1,0.2,0.002
Gavin DeGraw,14,4,Percent,12.7%-12.8%,12.7,12.8,0.1,0.001
Gladys Knight,14,4,Percent,6.0%-6.2%,6,6.2,0.2,0.002
Katherine Jenkins,14,4,Percent,9.9%-10.0%,9.9,10,0.1,0.001
Maria Menounos,14,4,Percent,16.1%-16.3%,16.1,16.3,0.2,0.002
William Levy,14,5,Percent,32.8%-32.9%,32.8,32.9,0.1,0.001
Jaleel White,14,5,Percent,5.3%-5.3%,5.3,5.3,0,0
Roshon Fegan,14,5,Percent,6.5%-6.6%,6.5,6.6,0.1,0.001
Melissa Gilbert,14,5,Percent,4.0%-4.0%,4,4,0,0
Donald Driver,14,5,Percent,9.8%-9.8%,9.8,9.8,0,0
Gavin DeGraw,14,5,Percent,2.2%-2.2%,2.2,2.2,0,0
Gladys Knight,14,5,Percent,8.4%-8.4%,8.4,8.4,0,0
Katherine Jenkins,14,5,Percent,14.1%-14.2%,14.1,14.2,0.1,0.001
Maria Menounos,14,5,Percent,16.9%-16.9%,16.9,16.9,0,0
William Levy,14,6,Percent,30.7%-30.8%,30.7,30.8,0.1,0.001
Jaleel White,14,6,Percent,14.6%-14.6%,14.6,14.6,0,0
Roshon Fegan,14,6,Percent,2.0%-2.1%,2,2.1,0.1,0.001
Melissa Gilbert,14,6,Percent,11.9%-11.9%,11.9,11.9,0,0
Donald Driver,14,6,Percent,7.5%-7.6%,7.5,7.6,0.1,0.001
Gladys Knight,14,6,Percent,4.6%-4.6%,4.6,4.6,0,0
Katherine Jenkins,14,6,Percent,18.0%-18.0%,18,18,0,0
Maria Menounos,14,6,Percent,10.6%-10.6%,10.6,10.6,0,0
William Levy,14,7,Percent,30.2%-30.3%,30.2,30.3,0.1,0.001
Jaleel White,14,7,Percent,8.0%-8.1%,8,8.1,0.1,0.001
Roshon Fegan,14,7,Percent,6.7%-6.8%,6.7,6.8,0.1,0.001
Melissa Gilbert,14,7,Percent,4.7%-4.7%,4.7,4.7,0,0
Donald Driver,14,7,Percent,11.0%-11.1%,11,11.1,0.1,0.001
Katherine Jenkins,14,7,Percent,15.7%-15.7%,15.7,15.7,0,0
Maria Menounos,14,7,Percent,23.5%-23.5%,23.5,23.5,0,0
William Levy,14,8,Percent,42.1%-42.8%,42.1,42.8,0.7,0.007
Roshon Fegan,14,8,Percent,11.5%-11.7%,11.5,11.7,0.2,0.002
Melissa Gilbert,14,8,Percent,3.9%-4.2%,3.9,4.2,0.3,0.003
Donald Driver,14,8,Percent,8.7%-8.9%,8.7,8.9,0.2,0.002
Katherine Jenkins,14,8,Percent,18.3%-18.4%,18.3,18.4,0.1,0.001
Maria Menounos,14,8,Percent,14.7%-14.9%,14.7,14.9,0.2,0.002
William Levy,14,9,Percent,30.7%-30.7%,30.7,30.7,0,0
Donald Driver,14,9,Percent,22.2%-22.2%,22.2,22.2,0,0
Katherine Jenkins,14,9,Percent,20.6%-20.6%,20.6,20.6,0,0
Maria Menounos,14,9,Percent,26.5%-26.5%,26.5,26.5,0,0
William Levy,14,10,Percent,35.9%-35.9%,35.9,35.9,0,0
Donald Driver,14,10,Percent,30.0%-30.0%,30,30,0,0
Katherine Jenkins,14,10,Percent,34.0%-34.1%,34,34.1,0.1,0.001
Elisabetta Canalis,13,1,Percent,7.7%-8.0%,7.7,8,0.3,0.003
David Arquette,13,1,Percent,4.6%-4.7%,4.6,4.7,0.1,0.001
Ricki Lake,13,1,Percent,5.9%-6.0%,5.9,6,0.1,0.001
J.R. Martinez,13,1,Percent,13.6%-13.9%,13.6,13.9,0.3,0.003
Metta World Peace (Ron),13,1,Percent,0.1%-0.1%,0.1,0.1,0,0
Hope Solo,13,1,Percent,9.8%-10.0%,9.8,10,0.2,0.002
Chynna Phillips,13,1,Percent,11.2%-11.6%,11.2,11.6,0.4,0.004
Kristin Cavallari,13,1,Percent,12.1%-12.3%,12.1,12.3,0.2,0.002
Carson Kressley,13,1,Percent,3.9%-4.2%,3.9,4.2,0.3,0.003
Chaz Bono,13,1,Percent,6.9%-7.2%,6.9,7.2,0.3,0.003
Nancy Grace,13,1,Percent,6.4%-6.7%,6.4,6.7,0.3,0.003
Rob Kardashian,13,1,Percent,16.3%-16.7%,16.3,16.7,0.4,0.004
Elisabetta Canalis,13,2,Percent,7.8%-7.8%,7.8,7.8,0,0
David Arquette,13,2,Percent,2.1%-2.2%,2.1,2.2,0.1,0.001
Ricki Lake,13,2,Percent,8.8%-8.8%,8.8,8.8,0,0
J.R. Martinez,13,2,Percent,13.3%-13.3%,13.3,13.3,0,0
Hope Solo,13,2,Percent,6.2%-6.2%,6.2,6.2,0,0
Chynna Phillips,13,2,Percent,10.5%-10.6%,10.5,10.6,0.1,0.001
Kristin Cavallari,13,2,Percent,14.5%-14.5%,14.5,14.5,0,0
Carson Kressley,13,2,Percent,3.2%-3.2%,3.2,3.2,0,0
Chaz Bono,13,2,Percent,4.2%-4.2%,4.2,4.2,0,0
Nancy Grace,13,2,Percent,9.8%-9.9%,9.8,9.9,0.1,0.001
Rob Kardashian,13,2,Percent,19.5%-19.6%,19.5,19.6,0.1,0.001
David Arquette,13,3,Percent,7.2%-7.2%,7.2,7.2,0,0
Ricki Lake,13,3,Percent,9.9%-9.9%,9.9,9.9,0,0
J.R. Martinez,13,3,Percent,14.8%-14.9%,14.8,14.9,0.1,0.001
Hope Solo,13,3,Percent,9.1%-9.1%,9.1,9.1,0,0
Chynna Phillips,13,3,Percent,12.7%-12.7%,12.7,12.7,0,0
Kristin Cavallari,13,3,Percent,10.6%-10.6%,10.6,10.6,0,0
Carson Kressley,13,3,Percent,5.7%-5.7%,5.7,5.7,0,0
Chaz Bono,13,3,Percent,3.4%-3.4%,3.4,3.4,0,0
Nancy Grace,13,3,Percent,6.7%-6.7%,6.7,6.7,0,0
Rob Kardashian,13,3,Percent,19.8%-19.9%,19.8,19.9,0.1,0.001
David Arquette,13,4,Percent,5.7%-5.7%,5.7,5.7,0,0
Ricki Lake,13,4,Percent,14.7%-14.7%,14.7,14.7,0,0
J.R. Martinez,13,4,Percent,18.5%-18.5%,18.5,18.5,0,0
Hope Solo,13,4,Percent,11.7%-11.7%,11.7,11.7,0,0
Chynna Phillips,13,4,Percent,6.8%-6.9%,6.8,6.9,0.1,0.001
Carson Kressley,13,4,Percent,2.4%-2.4%,2.4,2.4,0,0
Chaz Bono,13,4,Percent,5.0%-5.0%,5,5,0,0
Nancy Grace,13,4,Percent,8.9%-8.9%,8.9,8.9,0,0
Rob Kardashian,13,4,Percent,26.3%-26.3%,26.3,26.3,0,0
David Arquette,13,5,Percent,11.2%-11.2%,11.2,11.2,0,0
Ricki Lake,13,5,Percent,9.2%-9.2%,9.2,9.2,0,0
J.R. Martinez,13,5,Percent,21.8%-21.8%,21.8,21.8,0,0
Hope Solo,13,5,Percent,13.8%-13.8%,13.8,13.8,0,0
Carson Kressley,13,5,Percent,1.7%-1.7%,1.7,1.7,0,0
Chaz Bono,13,5,Percent,5.9%-5.9%,5.9,5.9,0,0
Nancy Grace,13,5,Percent,8.3%-8.3%,8.3,8.3,0,0
Rob Kardashian,13,5,Percent,28.0%-28.1%,28,28.1,0.1,0.001
David Arquette,13,6,Percent,8.1%-8.1%,8.1,8.1,0,0
Ricki Lake,13,6,Percent,16.2%-16.2%,16.2,16.2,0,0
J.R. Martinez,13,6,Percent,27.1%-27.2%,27.1,27.2,0.1,0.001
Hope Solo,13,6,Percent,6.1%-6.1%,6.1,6.1,0,0
Chaz Bono,13,6,Percent,3.4%-3.5%,3.4,3.5,0.1,0.001
Nancy Grace,13,6,Percent,13.2%-13.2%,13.2,13.2,0,0
Rob Kardashian,13,6,Percent,25.7%-25.7%,25.7,25.7,0,0
David Arquette,13,7,Percent,4.2%-4.4%,4.2,4.4,0.2,0.002
Ricki Lake,13,7,Percent,17.2%-17.3%,17.2,17.3,0.1,0.001
J.R. Martinez,13,7,Percent,20.2%-20.3%,20.2,20.3,0.1,0.001
Hope Solo,13,7,Percent,14.1%-14.2%,14.1,14.2,0.1,0.001
Nancy Grace,13,7,Percent,7.4%-7.6%,7.4,7.6,0.2,0.002
Rob Kardashian,13,7,Percent,36.3%-36.6%,36.3,36.6,0.3,0.003
Ricki Lake,13,8,Percent,11.2%-11.2%,11.2,11.2,0,0
J.R. Martinez,13,8,Percent,34.1%-34.2%,34.1,34.2,0.1,0.001
Hope Solo,13,8,Percent,17.1%-17.1%,17.1,17.1,0,0
Nancy Grace,13,8,Percent,6.2%-6.3%,6.2,6.3,0.1,0.001
Rob Kardashian,13,8,Percent,31.2%-31.3%,31.2,31.3,0.1,0.001
Ricki Lake,13,9,Percent,24.7%-24.7%,24.7,24.7,0,0
J.R. Martinez,13,9,Percent,19.7%-19.7%,19.7,19.7,0,0
Hope Solo,13,9,Percent,9.9%-9.9%,9.9,9.9,0,0
Rob Kardashian,13,9,Percent,45.7%-45.7%,45.7,45.7,0,0
Ricki Lake,13,10,Percent,27.0%-27.0%,27,27,0,0
J.R. Martinez,13,10,Percent,33.7%-33.7%,33.7,33.7,0,0
Rob Kardashian,13,10,Percent,39.3%-39.3%,39.3,39.3,0,0
Suzanne Somers,20,1,Percent,5.9%-6.1%,5.9,6.1,0.2,0.002
Willow Shields,20,1,Percent,4.7%-4.8%,4.7,4.8,0.1,0.001
Riker Lynch,20,1,Percent,9.9%-10.0%,9.9,10,0.1,0.001
Rumer Willis,20,1,Percent,18.7%-19.0%,18.7,19,0.3,0.003
Nastia Liukin,20,1,Percent,6.6%-6.8%,6.6,6.8,0.2,0.002
Michael Sam,20,1,Percent,3.3%-3.5%,3.3,3.5,0.2,0.002
Robert Herjavec,20,1,Percent,12.8%-13.0%,12.8,13,0.2,0.002
Charlotte McKinney,20,1,Percent,16.2%-16.4%,16.2,16.4,0.2,0.002
Noah Galloway,20,1,Percent,1.5%-1.7%,1.5,1.7,0.2,0.002
Redfoo,20,1,Percent,0.4%-0.5%,0.4,0.5,0.1,0.001
Patti LaBelle,20,1,Percent,8.0%-8.2%,8,8.2,0.2,0.002
Chris Soules,20,1,Percent,10.8%-10.9%,10.8,10.9,0.1,0.001
Suzanne Somers,20,2,Percent,6.3%-6.6%,6.3,6.6,0.3,0.003
Willow Shields,20,2,Percent,11.7%-12.1%,11.7,12.1,0.4,0.004
Riker Lynch,20,2,Percent,7.3%-7.5%,7.3,7.5,0.2,0.002
Rumer Willis,20,2,Percent,15.5%-15.9%,15.5,15.9,0.4,0.004
Nastia Liukin,20,2,Percent,7.9%-8.2%,7.9,8.2,0.3,0.003
Michael Sam,20,2,Percent,3.3%-3.6%,3.3,3.6,0.3,0.003
Robert Herjavec,20,2,Percent,10.4%-10.7%,10.4,10.7,0.3,0.003
Charlotte McKinney,20,2,Percent,19.1%-19.6%,19.1,19.6,0.5,0.005
Noah Galloway,20,2,Percent,0.6%-0.6%,0.6,0.6,0,0
Redfoo,20,2,Percent,4.8%-5.0%,4.8,5,0.2,0.002
Patti LaBelle,20,2,Percent,9.1%-9.3%,9.1,9.3,0.2,0.002
Chris Soules,20,2,Percent,2.1%-2.4%,2.1,2.4,0.3,0.003
Suzanne Somers,20,3,Percent,7.1%-7.1%,7.1,7.1,0,0
Willow Shields,20,3,Percent,9.7%-9.7%,9.7,9.7,0,0
Riker Lynch,20,3,Percent,9.9%-9.9%,9.9,9.9,0,0
Rumer Willis,20,3,Percent,14.9%-14.9%,14.9,14.9,0,0
Nastia Liukin,20,3,Percent,8.0%-8.0%,8,8,0,0
Michael Sam,20,3,Percent,3.8%-3.8%,3.8,3.8,0,0
Robert Herjavec,20,3,Percent,11.6%-11.6%,11.6,11.6,0,0
Charlotte McKinney,20,3,Percent,12.8%-12.8%,12.8,12.8,0,0
Noah Galloway,20,3,Percent,5.8%-5.8%,5.8,5.8,0,0
Patti LaBelle,20,3,Percent,5.6%-5.6%,5.6,5.6,0,0
Chris Soules,20,3,Percent,10.8%-10.8%,10.8,10.8,0,0
Suzanne Somers,20,4,Percent,5.3%-5.4%,5.3,5.4,0.1,0.001
Willow Shields,20,4,Percent,16.2%-16.4%,16.2,16.4,0.2,0.002
Riker Lynch,20,4,Percent,7.8%-7.9%,7.8,7.9,0.1,0.001
Rumer Willis,20,4,Percent,21.1%-21.3%,21.1,21.3,0.2,0.002
Nastia Liukin,20,4,Percent,6.0%-6.1%,6,6.1,0.1,0.001
Michael Sam,20,4,Percent,1.5%-1.6%,1.5,1.6,0.1,0.001
Robert Herjavec,20,4,Percent,17.8%-18.0%,17.8,18,0.2,0.002
Noah Galloway,20,4,Percent,2.0%-2.1%,2,2.1,0.1,0.001
Patti LaBelle,20,4,Percent,11.8%-11.8%,11.8,11.8,0,0
Chris Soules,20,4,Percent,9.9%-10.0%,9.9,10,0.1,0.001
Suzanne Somers,20,5,Percent,7.0%-7.2%,7,7.2,0.2,0.002
Willow Shields,20,5,Percent,15.0%-15.1%,15,15.1,0.1,0.001
Riker Lynch,20,5,Percent,12.0%-12.1%,12,12.1,0.1,0.001
Rumer Willis,20,5,Percent,24.9%-25.3%,24.9,25.3,0.4,0.004
Nastia Liukin,20,5,Percent,5.3%-5.5%,5.3,5.5,0.2,0.002
Robert Herjavec,20,5,Percent,9.4%-9.5%,9.4,9.5,0.1,0.001
Noah Galloway,20,5,Percent,1.1%-1.1%,1.1,1.1,0,0
Patti LaBelle,20,5,Percent,10.7%-10.8%,10.7,10.8,0.1,0.001
Chris Soules,20,5,Percent,13.9%-14.0%,13.9,14,0.1,0.001
Willow Shields,20,6,Percent,15.9%-16.1%,15.9,16.1,0.2,0.002
Riker Lynch,20,6,Percent,14.6%-14.8%,14.6,14.8,0.2,0.002
Rumer Willis,20,6,Percent,21.4%-21.6%,21.4,21.6,0.2,0.002
Nastia Liukin,20,6,Percent,6.7%-6.8%,6.7,6.8,0.1,0.001
Robert Herjavec,20,6,Percent,11.8%-11.9%,11.8,11.9,0.1,0.001
Noah Galloway,20,6,Percent,1.9%-2.0%,1.9,2,0.1,0.001
Patti LaBelle,20,6,Percent,9.1%-9.1%,9.1,9.1,0,0
Chris Soules,20,6,Percent,18.1%-18.1%,18.1,18.1,0,0
Willow Shields,20,7,Percent,14.2%-15.0%,14.2,15,0.8,0.008
Riker Lynch,20,7,Percent,9.9%-11.6%,9.9,11.6,1.7,0.017
Rumer Willis,20,7,Percent,24.1%-27.4%,24.1,27.4,3.3,0.033
Nastia Liukin,20,7,Percent,11.4%-12.5%,11.4,12.5,1.1,0.011
Robert Herjavec,20,7,Percent,15.7%-16.7%,15.7,16.7,1,0.01
Noah Galloway,20,7,Percent,7.2%-8.3%,7.2,8.3,1.1,0.011
Chris Soules,20,7,Percent,13.8%-15.9%,13.8,15.9,2.1,0.021
Riker Lynch,20,8,Percent,19.1%-19.1%,19.1,19.1,0,0
Rumer Willis,20,8,Percent,27.0%-27.0%,27,27,0,0
Nastia Liukin,20,8,Percent,12.7%-12.7%,12.7,12.7,0,0
Robert Herjavec,20,8,Percent,15.4%-15.4%,15.4,15.4,0,0
Noah Galloway,20,8,Percent,8.7%-8.8%,8.7,8.8,0.1,0.001
Chris Soules,20,8,Percent,17.1%-17.1%,17.1,17.1,0,0
Riker Lynch,20,9,Percent,27.8%-27.8%,27.8,27.8,0,0
Rumer Willis,20,9,Percent,33.6%-33.6%,33.6,33.6,0,0
Nastia Liukin,20,9,Percent,22.1%-22.1%,22.1,22.1,0,0
Noah Galloway,20,9,Percent,16.5%-16.5%,16.5,16.5,0,0
Riker Lynch,20,10,Percent,34.0%-34.0%,34,34,0,0
Rumer Willis,20,10,Percent,46.7%-46.7%,46.7,46.7,0,0
Noah Galloway,20,10,Percent,19.3%-19.4%,19.3,19.4,0.1,0.001
Kate Flannery,28,1,Rank,4-9,4,9,5,0.454545
James Van Der Beek,28,1,Rank,3-9,3,9,6,0.545455
Kel Mitchell,28,1,Rank,4-10,4,10,6,0.545455
Ray Lewis,28,1,Rank,4-9,4,9,5,0.454545
Lamar Odom,28,1,Rank,3-10,3,10,7,0.636364
Sailor Brinkley-Cook,28,1,Rank,3-9,3,9,6,0.545455
Sean Spicer,28,1,Rank,4-10,4,10,6,0.545455
Mary Wilson,28,1,Rank,4-10,4,10,6,0.545455
Lauren Alaina,28,1,Rank,3-9,3,9,6,0.545455
Ally Brooke,28,1,Rank,3-9,3,9,6,0.545455
Karamo Brown,28,1,Rank,3-9,3,9,6,0.545455
Hannah Brown,28,1,Rank,4-9,4,9,5,0.454545
Kate Flannery,28,2,Rank,4-9,4,9,5,0.454545
James Van Der Beek,28,2,Rank,4-9,4,9,5,0.454545
Kel Mitchell,28,2,Rank,4-9,4,9,5,0.454545
Ray Lewis,28,2,Rank,3-8,3,8,5,0.454545
Lamar Odom,28,2,Rank,2-6,2,6,4,0.363636
Sailor Brinkley-Cook,28,2,Rank,3-9,3,9,6,0.545455
Sean Spicer,28,2,Rank,3-9,3,9,6,0.545455
Mary Wilson,28,2,Rank,10-12,10,12,2,0.181818
Lauren Alaina,28,2,Rank,4-9,4,9,5,0.454545
Ally Brooke,28,2,Rank,3-9,3,9,6,0.545455
Karamo Brown,28,2,Rank,3-9,3,9,6,0.545455
Hannah Brown,28,2,Rank,3-9,3,9,6,0.545455
Kate Flannery,28,3,Rank,3-8,3,8,5,0.555556
James Van Der Beek,28,3,Rank,3-8,3,8,5,0.555556
Kel Mitchell,28,3,Rank,3-8,3,8,5,0.555556
Lamar Odom,28,3,Rank,3-7,3,7,4,0.444444
Sailor Brinkley-Cook,28,3,Rank,3-8,3,8,5,0.555556
Sean Spicer,28,3,Rank,3-8,3,8,5,0.555556
Lauren Alaina,28,3,Rank,3-8,3,8,5,0.555556
Ally Brooke,28,3,Rank,3-8,3,8,5,0.555556
Karamo Brown,28,3,Rank,3-8,3,8,5,0.555556
Hannah Brown,28,3,Rank,3-8,3,8,5,0.555556
Kate Flannery,28,4,Rank,3-7,3,7,4,0.444444
James Van Der Beek,28,4,Rank,3-8,3,8,5,0.555556
Kel Mitchell,28,4,Rank,3-8,3,8,5,0.555556
Lamar Odom,28,4,Rank,7-9,7,9,2,0.222222
Sailor Brinkley-Cook,28,4,Rank,3-8,3,8,5,0.555556
Sean Spicer,28,4,Rank,2-6,2,6,4,0.444444
Lauren Alaina,28,4,Rank,3-8,3,8,5,0.555556
Ally Brooke,28,4,Rank,3-8,3,8,5,0.555556
Karamo Brown,28,4,Rank,3-8,3,8,5,0.555556
Hannah Brown,28,4,Rank,3-8,3,8,5,0.555556
Kate Flannery,28,5,Rank,3-7,3,7,4,0.5
James Van Der Beek,28,5,Rank,3-7,3,7,4,0.5
Kel Mitchell,28,5,Rank,3-7,3,7,4,0.5
Sailor Brinkley-Cook,28,5,Rank,3-7,3,7,4,0.5
Sean Spicer,28,5,Rank,3-7,3,7,4,0.5
Lauren Alaina,28,5,Rank,3-7,3,7,4,0.5
Ally Brooke,28,5,Rank,3-7,3,7,4,0.5
Karamo Brown,28,5,Rank,3-7,3,7,4,0.5
Hannah Brown,28,5,Rank,3-7,3,7,4,0.5
Kate Flannery,28,6,Rank,7-8,7,8,1,0.125
James Van Der Beek,28,6,Rank,7-8,7,8,1,0.125
Kel Mitchell,28,6,Rank,5-6,5,6,1,0.125
Sailor Brinkley-Cook,28,6,Rank,9-9,9,9,0,0
Sean Spicer,28,6,Rank,1-1,1,1,0,0
Lauren Alaina,28,6,Rank,5-6,5,6,1,0.125
Ally Brooke,28,6,Rank,3-4,3,4,1,0.125
Karamo Brown,28,6,Rank,3-4,3,4,1,0.125
Hannah Brown,28,6,Rank,2-2,2,2,0,0
Kate Flannery,28,7,Rank,1-7,1,7,6,0.857143
James Van Der Beek,28,7,Rank,1-8,1,8,7,1
Kel Mitchell,28,7,Rank,1-8,1,8,7,1
Sean Spicer,28,7,Rank,1-6,1,6,5,0.714286
Lauren Alaina,28,7,Rank,1-8,1,8,7,1
Ally Brooke,28,7,Rank,1-8,1,8,7,1
Karamo Brown,28,7,Rank,3-8,3,8,5,0.714286
Hannah Brown,28,7,Rank,1-8,1,8,7,1
Kate Flannery,28,8,Rank,3-7,3,7,4,0.666667
James Van Der Beek,28,8,Rank,1-7,1,7,6,1
Kel Mitchell,28,8,Rank,1-7,1,7,6,1
Sean Spicer,28,8,Rank,1-5,1,5,4,0.666667
Lauren Alaina,28,8,Rank,1-6,1,6,5,0.833333
Ally Brooke,28,8,Rank,1-7,1,7,6,1
Hannah Brown,28,8,Rank,1-7,1,7,6,1
James Van Der Beek,28,9,Rank,1-6,1,6,5,1
Kel Mitchell,28,9,Rank,1-6,1,6,5,1
Sean Spicer,28,9,Rank,1-6,1,6,5,1
Lauren Alaina,28,9,Rank,1-6,1,6,5,1
Ally Brooke,28,9,Rank,1-6,1,6,5,1
Hannah Brown,28,9,Rank,1-6,1,6,5,1
James Van Der Beek,28,10,Rank,1-5,1,5,4,1
Kel Mitchell,28,10,Rank,1-5,1,5,4,1
Lauren Alaina,28,10,Rank,1-5,1,5,4,1
Ally Brooke,28,10,Rank,1-5,1,5,4,1
Hannah Brown,28,10,Rank,1-5,1,5,4,1
Kel Mitchell,28,11,Rank,2-4,2,4,2,0.666667
Lauren Alaina,28,11,Rank,1-4,1,4,3,1
Ally Brooke,28,11,Rank,3-4,3,4,1,0.333333
Hannah Brown,28,11,Rank,1-2,1,2,1,0.333333
Anne Heche,29,1,Rank,4-12,4,12,8,0.571429
